"","County","State","Population"
"2318","Aiken County","South Carolina",170872
"2319","Allendale County","South Carolina",8688
"2320","Anderson County","South Carolina",202558
"2321","Bamberg County","South Carolina",14066
"2322","Barnwell County","South Carolina",20866
"2323","Beaufort County","South Carolina",192122
"2324","Berkeley County","South Carolina",227907
"2325","Calhoun County","South Carolina",14553
"2326","Charleston County","South Carolina",411406
"2327","Cherokee County","South Carolina",57300
"2328","Chester County","South Carolina",32244
"2329","Chesterfield County","South Carolina",45650
"2330","Clarendon County","South Carolina",33745
"2331","Colleton County","South Carolina",37677
"2332","Darlington County","South Carolina",66618
"2333","Dillon County","South Carolina",30479
"2334","Dorchester County","South Carolina",162809
"2335","Edgefield County","South Carolina",27260
"2336","Fairfield County","South Carolina",22347
"2337","Florence County","South Carolina",138293
"2338","Georgetown County","South Carolina",62680
"2339","Greenville County","South Carolina",523542
"2340","Greenwood County","South Carolina",70811
"2341","Hampton County","South Carolina",19222
"2342","Horry County","South Carolina",354081
"2343","Jasper County","South Carolina",30073
"2344","Kershaw County","South Carolina",66551
"2345","Lancaster County","South Carolina",98012
"2346","Laurens County","South Carolina",67493
"2347","Lee County","South Carolina",16828
"2348","Lexington County","South Carolina",298750
"2349","McCormick County","South Carolina",9463
"2350","Marion County","South Carolina",30657
"2351","Marlboro County","South Carolina",26118
"2352","Newberry County","South Carolina",38440
"2353","Oconee County","South Carolina",79546
"2354","Orangeburg County","South Carolina",86175
"2355","Pickens County","South Carolina",126884
"2356","Richland County","South Carolina",415759
"2357","Saluda County","South Carolina",20473
"2358","Spartanburg County","South Carolina",319785
"2359","Sumter County","South Carolina",106721
"2360","Union County","South Carolina",27316
"2361","Williamsburg County","South Carolina",30368
"2362","York County","South Carolina",280979
"2363","Aurora County","South Dakota",2751
"2364","Beadle County","South Dakota",18453
"2365","Bennett County","South Dakota",3365
"2366","Bon Homme County","South Dakota",6901
"2367","Brookings County","South Dakota",35077
"2368","Brown County","South Dakota",38839
"2369","Brule County","South Dakota",5297
"2370","Buffalo County","South Dakota",1962
"2371","Butte County","South Dakota",10429
"2372","Campbell County","South Dakota",1376
"2373","Charles Mix County","South Dakota",9292
"2374","Clark County","South Dakota",3736
"2375","Clay County","South Dakota",14070
"2376","Codington County","South Dakota",28009
"2377","Corson County","South Dakota",4086
"2378","Custer County","South Dakota",8972
"2379","Davison County","South Dakota",19775
"2380","Day County","South Dakota",5424
"2381","Deuel County","South Dakota",4351
"2382","Dewey County","South Dakota",5892
"2383","Douglas County","South Dakota",2921
"2384","Edmunds County","South Dakota",3829
"2385","Fall River County","South Dakota",6713
"2386","Faulk County","South Dakota",2299
"2387","Grant County","South Dakota",7052
"2388","Gregory County","South Dakota",4185
"2389","Haakon County","South Dakota",1899
"2390","Hamlin County","South Dakota",6164
"2391","Hand County","South Dakota",3191
"2392","Hanson County","South Dakota",3453
"2393","Harding County","South Dakota",1298
"2394","Hughes County","South Dakota",17526
"2395","Hutchinson County","South Dakota",7291
"2396","Hyde County","South Dakota",1301
"2397","Jackson County","South Dakota",3344
"2398","Jerauld County","South Dakota",2013
"2399","Jones County","South Dakota",903
"2400","Kingsbury County","South Dakota",4939
"2401","Lake County","South Dakota",12797
"2402","Lawrence County","South Dakota",25844
"2403","Lincoln County","South Dakota",61128
"2404","Lyman County","South Dakota",3781
"2405","McCook County","South Dakota",5586
"2406","McPherson County","South Dakota",2379
"2407","Marshall County","South Dakota",4935
"2408","Meade County","South Dakota",28332
"2409","Mellette County","South Dakota",2061
"2410","Miner County","South Dakota",2216
"2411","Minnehaha County","South Dakota",193134
"2412","Moody County","South Dakota",6576
"2413","Oglala Lakota County","South Dakota",14177
"2414","Pennington County","South Dakota",113775
"2415","Perkins County","South Dakota",2865
"2416","Potter County","South Dakota",2153
"2417","Roberts County","South Dakota",10394
"2418","Sanborn County","South Dakota",2344
"2419","Spink County","South Dakota",6376
"2420","Stanley County","South Dakota",3098
"2421","Sully County","South Dakota",1391
"2422","Todd County","South Dakota",10177
"2423","Tripp County","South Dakota",5441
"2424","Turner County","South Dakota",8384
"2425","Union County","South Dakota",15932
"2426","Walworth County","South Dakota",5435
"2427","Yankton County","South Dakota",22814
"2428","Ziebach County","South Dakota",2756
"2429","Anderson County","Tennessee",76978
"2430","Bedford County","Tennessee",49713
"2431","Benton County","Tennessee",16160
"2432","Bledsoe County","Tennessee",15064
"2433","Blount County","Tennessee",133088
"2434","Bradley County","Tennessee",108110
"2435","Campbell County","Tennessee",39842
"2436","Cannon County","Tennessee",14678
"2437","Carroll County","Tennessee",27767
"2438","Carter County","Tennessee",56391
"2439","Cheatham County","Tennessee",40667
"2440","Chester County","Tennessee",17297
"2441","Claiborne County","Tennessee",31959
"2442","Clay County","Tennessee",7615
"2443","Cocke County","Tennessee",36004
"2444","Coffee County","Tennessee",56520
"2445","Crockett County","Tennessee",14230
"2446","Cumberland County","Tennessee",60520
"2447","Davidson County","Tennessee",694144
"2448","Decatur County","Tennessee",11663
"2449","DeKalb County","Tennessee",20490
"2450","Dickson County","Tennessee",53948
"2451","Dyer County","Tennessee",37159
"2452","Fayette County","Tennessee",41133
"2453","Fentress County","Tennessee",18523
"2454","Franklin County","Tennessee",42208
"2455","Gibson County","Tennessee",49133
"2456","Giles County","Tennessee",29464
"2457","Grainger County","Tennessee",23320
"2458","Greene County","Tennessee",69069
"2459","Grundy County","Tennessee",13427
"2460","Hamblen County","Tennessee",64934
"2461","Hamilton County","Tennessee",367804
"2462","Hancock County","Tennessee",6620
"2463","Hardeman County","Tennessee",25050
"2464","Hardin County","Tennessee",25652
"2465","Hawkins County","Tennessee",56786
"2466","Haywood County","Tennessee",17304
"2467","Henderson County","Tennessee",28117
"2468","Henry County","Tennessee",32345
"2469","Hickman County","Tennessee",25178
"2470","Houston County","Tennessee",8201
"2471","Humphreys County","Tennessee",18582
"2472","Jackson County","Tennessee",11786
"2473","Jefferson County","Tennessee",54495
"2474","Johnson County","Tennessee",17788
"2475","Knox County","Tennessee",470313
"2476","Lake County","Tennessee",7016
"2477","Lauderdale County","Tennessee",25633
"2478","Lawrence County","Tennessee",44142
"2479","Lewis County","Tennessee",12268
"2480","Lincoln County","Tennessee",34366
"2481","Loudon County","Tennessee",54068
"2482","McMinn County","Tennessee",53794
"2483","McNairy County","Tennessee",25694
"2484","Macon County","Tennessee",24602
"2485","Madison County","Tennessee",97984
"2486","Marion County","Tennessee",28907
"2487","Marshall County","Tennessee",34375
"2488","Maury County","Tennessee",96387
"2489","Meigs County","Tennessee",12422
"2490","Monroe County","Tennessee",46545
"2491","Montgomery County","Tennessee",208993
"2492","Moore County","Tennessee",6488
"2493","Morgan County","Tennessee",21403
"2494","Obion County","Tennessee",30069
"2495","Overton County","Tennessee",22241
"2496","Perry County","Tennessee",8076
"2497","Pickett County","Tennessee",5048
"2498","Polk County","Tennessee",16832
"2499","Putnam County","Tennessee",80245
"2500","Rhea County","Tennessee",33167
"2501","Roane County","Tennessee",53382
"2502","Robertson County","Tennessee",71813
"2503","Rutherford County","Tennessee",332285
"2504","Scott County","Tennessee",22068
"2505","Sequatchie County","Tennessee",15026
"2506","Sevier County","Tennessee",98250
"2507","Shelby County","Tennessee",937166
"2508","Smith County","Tennessee",20157
"2509","Stewart County","Tennessee",13715
"2510","Sullivan County","Tennessee",158348
"2511","Sumner County","Tennessee",191283
"2512","Tipton County","Tennessee",61599
"2513","Trousdale County","Tennessee",11284
"2514","Unicoi County","Tennessee",17883
"2515","Union County","Tennessee",19972
"2516","Van Buren County","Tennessee",5872
"2517","Warren County","Tennessee",41277
"2518","Washington County","Tennessee",129375
"2519","Wayne County","Tennessee",16673
"2520","Weakley County","Tennessee",33328
"2521","White County","Tennessee",27345
"2522","Williamson County","Tennessee",238412
"2523","Wilson County","Tennessee",144657
"2524","Anderson County","Texas",57735
"2525","Andrews County","Texas",18705
"2526","Angelina County","Texas",86715
"2527","Aransas County","Texas",23510
"2528","Archer County","Texas",8553
"2529","Armstrong County","Texas",1887
"2530","Atascosa County","Texas",51153
"2531","Austin County","Texas",30032
"2532","Bailey County","Texas",7000
"2533","Bandera County","Texas",23112
"2534","Bastrop County","Texas",88723
"2535","Baylor County","Texas",3509
"2536","Bee County","Texas",32565
"2537","Bell County","Texas",362924
"2538","Bexar County","Texas",2003554
"2539","Blanco County","Texas",11931
"2540","Borden County","Texas",654
"2541","Bosque County","Texas",18685
"2542","Bowie County","Texas",93245
"2543","Brazoria County","Texas",374264
"2544","Brazos County","Texas",229211
"2545","Brewster County","Texas",9203
"2546","Briscoe County","Texas",1546
"2547","Brooks County","Texas",7093
"2548","Brown County","Texas",37864
"2549","Burleson County","Texas",18443
"2550","Burnet County","Texas",48155
"2551","Caldwell County","Texas",43664
"2552","Calhoun County","Texas",21290
"2553","Callahan County","Texas",13943
"2554","Cameron County","Texas",423163
"2555","Camp County","Texas",13094
"2556","Carson County","Texas",5926
"2557","Cass County","Texas",30026
"2558","Castro County","Texas",7530
"2559","Chambers County","Texas",43837
"2560","Cherokee County","Texas",52646
"2561","Childress County","Texas",7306
"2562","Clay County","Texas",10471
"2563","Cochran County","Texas",2853
"2564","Coke County","Texas",3387
"2565","Coleman County","Texas",8175
"2566","Collin County","Texas",1034730
"2567","Collingsworth County","Texas",2920
"2568","Colorado County","Texas",21493
"2569","Comal County","Texas",156209
"2570","Comanche County","Texas",13635
"2571","Concho County","Texas",2726
"2572","Cooke County","Texas",41257
"2573","Coryell County","Texas",75951
"2574","Cottle County","Texas",1398
"2575","Crane County","Texas",4797
"2576","Crockett County","Texas",3464
"2577","Crosby County","Texas",5737
"2578","Culberson County","Texas",2171
"2579","Dallam County","Texas",7287
"2580","Dallas County","Texas",2635516
"2581","Dawson County","Texas",12728
"2582","Deaf Smith County","Texas",18546
"2583","Delta County","Texas",5331
"2584","Denton County","Texas",887207
"2585","DeWitt County","Texas",20160
"2586","Dickens County","Texas",2211
"2587","Dimmit County","Texas",10124
"2588","Donley County","Texas",3278
"2589","Duval County","Texas",11157
"2590","Eastland County","Texas",18360
"2591","Ector County","Texas",166223
"2592","Edwards County","Texas",1932
"2593","Ellis County","Texas",184826
"2594","El Paso County","Texas",839238
"2595","Erath County","Texas",42698
"2596","Falls County","Texas",17297
"2597","Fannin County","Texas",35514
"2598","Fayette County","Texas",25346
"2599","Fisher County","Texas",3830
"2600","Floyd County","Texas",5712
"2601","Foard County","Texas",1155
"2602","Fort Bend County","Texas",811688
"2603","Franklin County","Texas",10725
"2604","Freestone County","Texas",19717
"2605","Frio County","Texas",20306
"2606","Gaines County","Texas",21492
"2607","Galveston County","Texas",342139
"2608","Garza County","Texas",6229
"2609","Gillespie County","Texas",26988
"2610","Glasscock County","Texas",1409
"2611","Goliad County","Texas",7658
"2612","Gonzales County","Texas",20837
"2613","Gray County","Texas",21886
"2614","Grayson County","Texas",136212
"2615","Gregg County","Texas",123945
"2616","Grimes County","Texas",28880
"2617","Guadalupe County","Texas",166847
"2618","Hale County","Texas",33406
"2619","Hall County","Texas",2964
"2620","Hamilton County","Texas",8461
"2621","Hansford County","Texas",5399
"2622","Hardeman County","Texas",3933
"2623","Hardin County","Texas",57602
"2624","Harris County","Texas",4713325
"2625","Harrison County","Texas",66553
"2626","Hartley County","Texas",5576
"2627","Haskell County","Texas",5658
"2628","Hays County","Texas",230191
"2629","Hemphill County","Texas",3819
"2630","Henderson County","Texas",82737
"2631","Hidalgo County","Texas",868707
"2632","Hill County","Texas",36649
"2633","Hockley County","Texas",23021
"2634","Hood County","Texas",61643
"2635","Hopkins County","Texas",37084
"2636","Houston County","Texas",22968
"2637","Howard County","Texas",36664
"2638","Hudspeth County","Texas",4886
"2639","Hunt County","Texas",98594
"2640","Hutchinson County","Texas",20938
"2641","Irion County","Texas",1536
"2642","Jack County","Texas",8935
"2643","Jackson County","Texas",14760
"2644","Jasper County","Texas",35529
"2645","Jeff Davis County","Texas",2274
"2646","Jefferson County","Texas",251565
"2647","Jim Hogg County","Texas",5200
"2648","Jim Wells County","Texas",40482
"2649","Johnson County","Texas",175817
"2650","Jones County","Texas",20083
"2651","Karnes County","Texas",15601
"2652","Kaufman County","Texas",136154
"2653","Kendall County","Texas",47431
"2654","Kenedy County","Texas",404
"2655","Kent County","Texas",762
"2656","Kerr County","Texas",52600
"2657","Kimble County","Texas",4337
"2658","King County","Texas",272
"2659","Kinney County","Texas",3667
"2660","Kleberg County","Texas",30680
"2661","Knox County","Texas",3664
"2662","Lamar County","Texas",49859
"2663","Lamb County","Texas",12893
"2664","Lampasas County","Texas",21428
"2665","La Salle County","Texas",7520
"2666","Lavaca County","Texas",20154
"2667","Lee County","Texas",17239
"2668","Leon County","Texas",17404
"2669","Liberty County","Texas",88219
"2670","Limestone County","Texas",23437
"2671","Lipscomb County","Texas",3233
"2672","Live Oak County","Texas",12207
"2673","Llano County","Texas",21795
"2674","Loving County","Texas",169
"2675","Lubbock County","Texas",310569
"2676","Lynn County","Texas",5951
"2677","McCulloch County","Texas",7984
"2678","McLennan County","Texas",256623
"2679","McMullen County","Texas",743
"2680","Madison County","Texas",14284
"2681","Marion County","Texas",9854
"2682","Martin County","Texas",5771
"2683","Mason County","Texas",4274
"2684","Matagorda County","Texas",36643
"2685","Maverick County","Texas",58722
"2686","Medina County","Texas",51584
"2687","Menard County","Texas",2138
"2688","Midland County","Texas",176832
"2689","Milam County","Texas",24823
"2690","Mills County","Texas",4873
"2691","Mitchell County","Texas",8545
"2692","Montague County","Texas",19818
"2693","Montgomery County","Texas",607391
"2694","Moore County","Texas",20940
"2695","Morris County","Texas",12388
"2696","Motley County","Texas",1200
"2697","Nacogdoches County","Texas",65204
"2698","Navarro County","Texas",50113
"2699","Newton County","Texas",13595
"2700","Nolan County","Texas",14714
"2701","Nueces County","Texas",362294
"2702","Ochiltree County","Texas",9836
"2703","Oldham County","Texas",2112
"2704","Orange County","Texas",83396
"2705","Palo Pinto County","Texas",29189
"2706","Panola County","Texas",23194
"2707","Parker County","Texas",142878
"2708","Parmer County","Texas",9605
"2709","Pecos County","Texas",15823
"2710","Polk County","Texas",51353
"2711","Potter County","Texas",117415
"2712","Presidio County","Texas",6704
"2713","Rains County","Texas",12514
"2714","Randall County","Texas",137713
"2715","Reagan County","Texas",3849
"2716","Real County","Texas",3452
"2717","Red River County","Texas",12023
"2718","Reeves County","Texas",15976
"2719","Refugio County","Texas",6948
"2720","Roberts County","Texas",854
"2721","Robertson County","Texas",17074
"2722","Rockwall County","Texas",104915
"2723","Runnels County","Texas",10264
"2724","Rusk County","Texas",54406
"2725","Sabine County","Texas",10542
"2726","San Augustine County","Texas",8237
"2727","San Jacinto County","Texas",28859
"2728","San Patricio County","Texas",66730
"2729","San Saba County","Texas",6055
"2730","Schleicher County","Texas",2793
"2731","Scurry County","Texas",16703
"2732","Shackelford County","Texas",3265
"2733","Shelby County","Texas",25274
"2734","Sherman County","Texas",3022
"2735","Smith County","Texas",232751
"2736","Somervell County","Texas",9128
"2737","Starr County","Texas",64633
"2738","Stephens County","Texas",9366
"2739","Sterling County","Texas",1291
"2740","Stonewall County","Texas",1350
"2741","Sutton County","Texas",3776
"2742","Swisher County","Texas",7397
"2743","Tarrant County","Texas",2102515
"2744","Taylor County","Texas",138034
"2745","Terrell County","Texas",776
"2746","Terry County","Texas",12337
"2747","Throckmorton County","Texas",1501
"2748","Titus County","Texas",32750
"2749","Tom Green County","Texas",119200
"2750","Travis County","Texas",1273954
"2751","Trinity County","Texas",14651
"2752","Tyler County","Texas",21672
"2753","Upshur County","Texas",41753
"2754","Upton County","Texas",3657
"2755","Uvalde County","Texas",26741
"2756","Val Verde County","Texas",49025
"2757","Van Zandt County","Texas",56590
"2758","Victoria County","Texas",92084
"2759","Walker County","Texas",72971
"2760","Waller County","Texas",55246
"2761","Ward County","Texas",11998
"2762","Washington County","Texas",35882
"2763","Webb County","Texas",276652
"2764","Wharton County","Texas",41556
"2765","Wheeler County","Texas",5056
"2766","Wichita County","Texas",132230
"2767","Wilbarger County","Texas",12769
"2768","Willacy County","Texas",21358
"2769","Williamson County","Texas",590551
"2770","Wilson County","Texas",51070
"2771","Winkler County","Texas",8010
"2772","Wise County","Texas",69984
"2773","Wood County","Texas",45539
"2774","Yoakum County","Texas",8713
"2775","Young County","Texas",18010
"2776","Zapata County","Texas",14179
"2777","Zavala County","Texas",11840
"2778","Beaver County","Utah",6710
"2779","Box Elder County","Utah",56046
"2780","Cache County","Utah",128289
"2781","Carbon County","Utah",20463
"2782","Daggett County","Utah",950
"2783","Davis County","Utah",355481
"2784","Duchesne County","Utah",19938
"2785","Emery County","Utah",10012
"2786","Garfield County","Utah",5051
"2787","Grand County","Utah",9754
"2788","Iron County","Utah",54839
"2789","Juab County","Utah",12017
"2790","Kane County","Utah",7886
"2791","Millard County","Utah",13188
"2792","Morgan County","Utah",12124
"2793","Piute County","Utah",1479
"2794","Rich County","Utah",2483
"2795","Salt Lake County","Utah",1160437
"2796","San Juan County","Utah",15308
"2797","Sanpete County","Utah",30939
"2798","Sevier County","Utah",21620
"2799","Summit County","Utah",42145
"2800","Tooele County","Utah",72259
"2801","Uintah County","Utah",35734
"2802","Utah County","Utah",636235
"2803","Wasatch County","Utah",34091
"2804","Washington County","Utah",177556
"2805","Wayne County","Utah",2711
"2806","Weber County","Utah",260213
"2807","Addison County","Vermont",36777
"2808","Bennington County","Vermont",35470
"2809","Caledonia County","Vermont",29993
"2810","Chittenden County","Vermont",163774
"2811","Essex County","Vermont",6163
"2812","Franklin County","Vermont",49402
"2813","Grand Isle County","Vermont",7235
"2814","Lamoille County","Vermont",25362
"2815","Orange County","Vermont",28892
"2816","Orleans County","Vermont",27037
"2817","Rutland County","Vermont",58191
"2818","Washington County","Vermont",58409
"2819","Windham County","Vermont",42222
"2820","Windsor County","Vermont",55062
"2821","Accomack County","Virginia",32316
"2822","Albemarle County","Virginia",109330
"2823","Alleghany County","Virginia",14860
"2824","Amelia County","Virginia",13145
"2825","Amherst County","Virginia",31605
"2826","Appomattox County","Virginia",15911
"2827","Arlington County","Virginia",236842
"2828","Augusta County","Virginia",75558
"2829","Bath County","Virginia",4147
"2830","Bedford County","Virginia",78997
"2831","Bland County","Virginia",6280
"2832","Botetourt County","Virginia",33419
"2833","Brunswick County","Virginia",16231
"2834","Buchanan County","Virginia",21004
"2835","Buckingham County","Virginia",17148
"2836","Campbell County","Virginia",54885
"2837","Caroline County","Virginia",30725
"2838","Carroll County","Virginia",29791
"2839","Charles City County","Virginia",6963
"2840","Charlotte County","Virginia",11880
"2841","Chesterfield County","Virginia",352802
"2842","Clarke County","Virginia",14619
"2843","Craig County","Virginia",5131
"2844","Culpeper County","Virginia",52605
"2845","Cumberland County","Virginia",9932
"2846","Dickenson County","Virginia",14318
"2847","Dinwiddie County","Virginia",28544
"2848","Essex County","Virginia",10953
"2849","Fairfax County","Virginia",1147532
"2850","Fauquier County","Virginia",71222
"2851","Floyd County","Virginia",15749
"2852","Fluvanna County","Virginia",27270
"2853","Franklin County","Virginia",56042
"2854","Frederick County","Virginia",89313
"2855","Giles County","Virginia",16720
"2856","Gloucester County","Virginia",37348
"2857","Goochland County","Virginia",23753
"2858","Grayson County","Virginia",15550
"2859","Greene County","Virginia",19819
"2860","Greensville County","Virginia",11336
"2861","Halifax County","Virginia",33911
"2862","Hanover County","Virginia",107766
"2863","Henrico County","Virginia",330818
"2864","Henry County","Virginia",50557
"2865","Highland County","Virginia",2190
"2866","Isle of Wight County","Virginia",37109
"2867","James City County","Virginia",76523
"2868","King and Queen County","Virginia",7025
"2869","King George County","Virginia",26836
"2870","King William County","Virginia",17148
"2871","Lancaster County","Virginia",10603
"2872","Lee County","Virginia",23423
"2873","Loudoun County","Virginia",413538
"2874","Louisa County","Virginia",37591
"2875","Lunenburg County","Virginia",12196
"2876","Madison County","Virginia",13261
"2877","Mathews County","Virginia",8834
"2878","Mecklenburg County","Virginia",30587
"2879","Middlesex County","Virginia",10582
"2880","Montgomery County","Virginia",98535
"2881","Nelson County","Virginia",14930
"2882","New Kent County","Virginia",23091
"2883","Northampton County","Virginia",11710
"2884","Northumberland County","Virginia",12095
"2885","Nottoway County","Virginia",15232
"2886","Orange County","Virginia",37051
"2887","Page County","Virginia",23902
"2888","Patrick County","Virginia",17608
"2889","Pittsylvania County","Virginia",60354
"2890","Powhatan County","Virginia",29652
"2891","Prince Edward County","Virginia",22802
"2892","Prince George County","Virginia",38353
"2893","Prince William County","Virginia",470335
"2894","Pulaski County","Virginia",34027
"2895","Rappahannock County","Virginia",7370
"2896","Richmond County","Virginia",9023
"2897","Roanoke County","Virginia",94186
"2898","Rockbridge County","Virginia",22573
"2899","Rockingham County","Virginia",81948
"2900","Russell County","Virginia",26586
"2901","Scott County","Virginia",21566
"2902","Shenandoah County","Virginia",43616
"2903","Smyth County","Virginia",30104
"2904","Southampton County","Virginia",17631
"2905","Spotsylvania County","Virginia",136215
"2906","Stafford County","Virginia",152882
"2907","Surry County","Virginia",6422
"2908","Sussex County","Virginia",11159
"2909","Tazewell County","Virginia",40595
"2910","Warren County","Virginia",40164
"2911","Washington County","Virginia",53740
"2912","Westmoreland County","Virginia",18015
"2913","Wise County","Virginia",37383
"2914","Wythe County","Virginia",28684
"2915","York County","Virginia",68280
"2916","Alexandria city","Virginia",159428
"2917","Bristol city","Virginia",16762
"2918","Buena Vista city","Virginia",6478
"2919","Charlottesville city","Virginia",47266
"2920","Chesapeake city","Virginia",244835
"2921","Colonial Heights city","Virginia",17370
"2922","Covington city","Virginia",5538
"2923","Danville city","Virginia",40044
"2924","Emporia city","Virginia",5346
"2925","Fairfax city","Virginia",24019
"2926","Falls Church city","Virginia",14617
"2927","Franklin city","Virginia",7967
"2928","Fredericksburg city","Virginia",29036
"2929","Galax city","Virginia",6347
"2930","Hampton city","Virginia",134510
"2931","Harrisonburg city","Virginia",53016
"2932","Hopewell city","Virginia",22529
"2933","Lexington city","Virginia",7446
"2934","Lynchburg city","Virginia",82168
"2935","Manassas city","Virginia",41085
"2936","Manassas Park city","Virginia",17478
"2937","Martinsville city","Virginia",12554
"2938","Newport News city","Virginia",179225
"2939","Norfolk city","Virginia",242742
"2940","Norton city","Virginia",3981
"2941","Petersburg city","Virginia",31346
"2942","Poquoson city","Virginia",12271
"2943","Portsmouth city","Virginia",94398
"2944","Radford city","Virginia",18249
"2945","Richmond city","Virginia",230436
"2946","Roanoke city","Virginia",99143
"2947","Salem city","Virginia",25301
"2948","Staunton city","Virginia",24932
"2949","Suffolk city","Virginia",92108
"2950","Virginia Beach city","Virginia",449974
"2951","Waynesboro city","Virginia",22630
"2952","Williamsburg city","Virginia",14954
"2953","Winchester city","Virginia",28078
"2954","Adams County","Washington",19983
"2955","Asotin County","Washington",22582
"2956","Benton County","Washington",204390
"2957","Chelan County","Washington",77200
"2958","Clallam County","Washington",77331
"2959","Clark County","Washington",488241
"2960","Columbia County","Washington",3985
"2961","Cowlitz County","Washington",110593
"2962","Douglas County","Washington",43429
"2963","Ferry County","Washington",7627
"2964","Franklin County","Washington",95222
"2965","Garfield County","Washington",2225
"2966","Grant County","Washington",97733
"2967","Grays Harbor County","Washington",75061
"2968","Island County","Washington",85141
"2969","Jefferson County","Washington",32221
"2970","King County","Washington",2252782
"2971","Kitsap County","Washington",271473
"2972","Kittitas County","Washington",47935
"2973","Klickitat County","Washington",22425
"2974","Lewis County","Washington",80707
"2975","Lincoln County","Washington",10939
"2976","Mason County","Washington",66768
"2977","Okanogan County","Washington",42243
"2978","Pacific County","Washington",22471
"2979","Pend Oreille County","Washington",13724
"2980","Pierce County","Washington",904980
"2981","San Juan County","Washington",17582
"2982","Skagit County","Washington",129205
"2983","Skamania County","Washington",12083
"2984","Snohomish County","Washington",822083
"2985","Spokane County","Washington",522798
"2986","Stevens County","Washington",45723
"2987","Thurston County","Washington",290536
"2988","Wahkiakum County","Washington",4488
"2989","Walla Walla County","Washington",60760
"2990","Whatcom County","Washington",229247
"2991","Whitman County","Washington",50104
"2992","Yakima County","Washington",250873
"2993","Barbour County","West Virginia",16441
"2994","Berkeley County","West Virginia",119171
"2995","Boone County","West Virginia",21457
"2996","Braxton County","West Virginia",13957
"2997","Brooke County","West Virginia",21939
"2998","Cabell County","West Virginia",91945
"2999","Calhoun County","West Virginia",7109
"3000","Clay County","West Virginia",8508
"3001","Doddridge County","West Virginia",8448
"3002","Fayette County","West Virginia",42406
"3003","Gilmer County","West Virginia",7823
"3004","Grant County","West Virginia",11568
"3005","Greenbrier County","West Virginia",34662
"3006","Hampshire County","West Virginia",23175
"3007","Hancock County","West Virginia",28810
"3008","Hardy County","West Virginia",13776
"3009","Harrison County","West Virginia",67256
"3010","Jackson County","West Virginia",28576
"3011","Jefferson County","West Virginia",57146
"3012","Kanawha County","West Virginia",178124
"3013","Lewis County","West Virginia",15907
"3014","Lincoln County","West Virginia",20409
"3015","Logan County","West Virginia",32019
"3016","McDowell County","West Virginia",17624
"3017","Marion County","West Virginia",56072
"3018","Marshall County","West Virginia",30531
"3019","Mason County","West Virginia",26516
"3020","Mercer County","West Virginia",58758
"3021","Mineral County","West Virginia",26868
"3022","Mingo County","West Virginia",23424
"3023","Monongalia County","West Virginia",105612
"3024","Monroe County","West Virginia",13275
"3025","Morgan County","West Virginia",17884
"3026","Nicholas County","West Virginia",24496
"3027","Ohio County","West Virginia",41411
"3028","Pendleton County","West Virginia",6969
"3029","Pleasants County","West Virginia",7460
"3030","Pocahontas County","West Virginia",8247
"3031","Preston County","West Virginia",33432
"3032","Putnam County","West Virginia",56450
"3033","Raleigh County","West Virginia",73361
"3034","Randolph County","West Virginia",28695
"3035","Ritchie County","West Virginia",9554
"3036","Roane County","West Virginia",13688
"3037","Summers County","West Virginia",12573
"3038","Taylor County","West Virginia",16695
"3039","Tucker County","West Virginia",6839
"3040","Tyler County","West Virginia",8591
"3041","Upshur County","West Virginia",24176
"3042","Wayne County","West Virginia",39402
"3043","Webster County","West Virginia",8114
"3044","Wetzel County","West Virginia",15065
"3045","Wirt County","West Virginia",5821
"3046","Wood County","West Virginia",83518
"3047","Wyoming County","West Virginia",20394
"3048","Adams County","Wisconsin",20220
"3049","Ashland County","Wisconsin",15562
"3050","Barron County","Wisconsin",45244
"3051","Bayfield County","Wisconsin",15036
"3052","Brown County","Wisconsin",264542
"3053","Buffalo County","Wisconsin",13031
"3054","Burnett County","Wisconsin",15414
"3055","Calumet County","Wisconsin",50089
"3056","Chippewa County","Wisconsin",64658
"3057","Clark County","Wisconsin",34774
"3058","Columbia County","Wisconsin",57532
"3059","Crawford County","Wisconsin",16131
"3060","Dane County","Wisconsin",546695
"3061","Dodge County","Wisconsin",87839
"3062","Door County","Wisconsin",27668
"3063","Douglas County","Wisconsin",43150
"3064","Dunn County","Wisconsin",45368
"3065","Eau Claire County","Wisconsin",104646
"3066","Florence County","Wisconsin",4295
"3067","Fond du Lac County","Wisconsin",103403
"3068","Forest County","Wisconsin",9004
"3069","Grant County","Wisconsin",51439
"3070","Green County","Wisconsin",36960
"3071","Green Lake County","Wisconsin",18913
"3072","Iowa County","Wisconsin",23678
"3073","Iron County","Wisconsin",5687
"3074","Jackson County","Wisconsin",20643
"3075","Jefferson County","Wisconsin",84769
"3076","Juneau County","Wisconsin",26687
"3077","Kenosha County","Wisconsin",169561
"3078","Kewaunee County","Wisconsin",20434
"3079","La Crosse County","Wisconsin",118016
"3080","Lafayette County","Wisconsin",16665
"3081","Langlade County","Wisconsin",19189
"3082","Lincoln County","Wisconsin",27593
"3083","Manitowoc County","Wisconsin",78981
"3084","Marathon County","Wisconsin",135692
"3085","Marinette County","Wisconsin",40350
"3086","Marquette County","Wisconsin",15574
"3087","Menominee County","Wisconsin",4556
"3088","Milwaukee County","Wisconsin",945726
